client,title,url,date,source,excerpt,image
"Advisors Excel, LLC",Financial Advisor Jonathan Bulman Joins Cetera Seeking Growth and a Stronger Sense of Community,https://www.lelezard.com/en/news-21779250.html,2025-04-15 14:47:00,Le Lézard,"Cetera Financial Group, the premier financial advisor Wealth Hub, announced that experienced financial advisor Jonathan Bulman has transferred from Osaic to the unique Summit Financial Networks region of Cetera.",
"Advisors Excel, LLC",10 Best Simple CRMs Of 2025,https://www.forbes.com/advisor/business/software/best-simple-crm/,2025-04-14 08:12:00,Forbes,"She's well-versed in the intricacies of LLC formation, business taxe... Editorial Note: We earn a commission from partner links on Forbes Advisor ... suites exist that excel at the basics ...",
"Advisors Excel, LLC","Circana Launches Liquid Mix, an AI-Powered Self-Service Marketing Mix Platform",https://finance.yahoo.com/news/circana-launches-liquid-mix-ai-120500105.html,2025-04-08 12:05:00,Yahoo Finance,"Circana, LLC, a leading advisor on the complexity of consumer behavior, announced today that it is launching Liquid Mix™, a groundbreaking self-service marketing mix platform. Designed to empower brands of all sizes,",https://media.zenfs.com/en/globenewswire.com/65966e7df8be505b8b38d0ac37d92f55
"Advisors Excel, LLC",Skyline Champion Co. (NYSE:SKY) Receives $90.20 Average Target Price from Analysts,https://www.etfdailynews.com/2025/04/05/skyline-champion-co-nysesky-receives-90-20-average-target-price-from-analysts/,2025-04-05 05:04:00,ETF Daily News,"Skyline Champion Co. (NYSE:SKY - Get Free Report) has been assigned an average recommendation of ""Hold"" from the five brokerages that are presently covering the company, Marketbeat Ratings reports. Four research analysts have rated the stock with a hold recommendation and one has given a buy recommendation to the company.",
"Advisors Excel, LLC","Exchange Listing, LLC: IPO Summit 2025 to Empower Emerging Growth Companies at NASDAQ",https://www.finanznachrichten.de/nachrichten-2025-04/65034995-exchange-listing-llc-ipo-summit-2025-to-empower-emerging-growth-companies-at-nasdaq-200.htm,2025-04-04 21:01:00,FinanzNachrichten.de,"NEW YORK CITY, NY / ACCESS Newswire / April 4, 2025 / On April 15, 2025, the inaugural IPO Summit, hosted by renowned capital markets advisor Peter Goldstein of Exchange Listing LLC, will convene at N",
J.P. Morgan Chase & Co.,JPMorgan Chase & Co. (JPM): Among Value Stocks in Ken Fisher's Portfolio,https://www.msn.com/en-us/money/top-stocks/jpmorgan-chase-co-jpm-among-value-stocks-in-ken-fisher-s-portfolio/ar-AA1DesqG,2025-04-19 15:51:39,Insider Monkey,"We recently published a list of 10 Value Stocks in Ken Fisher's Portfolio. In this article, we are going to take a look at where JPMorgan Chase & Co. (NYSE:JPM) stands against other value stocks in Ken Fisher's portfolio.",https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA1s9mor.img?w=1456&h=816&m=4&q=91
J.P. Morgan Chase & Co.,Why J.P. Morgan Chase's (JPM) Strength Lacks the Safety of Bank of America (BAC),https://markets.businessinsider.com/news/stocks/why-j-p-morgan-chase-s-jpm-strength-lacks-the-safety-of-bank-of-america-bac-1034596520,2025-04-17 11:58:00,Markets Insider,Market sentiment has taken a sharp turn with risks ramping up in recent weeks around what feels like a self-inflicted economic mess. The 2025,https://blog.tipranks.com/wp-content/uploads/2025/04/Image-16-04-25-at-14-2-1024x404.jpeg?utm_source=markets.businessinsider.com&amp;utm_medium=referral
J.P. Morgan Chase & Co.,JPMorgan Chase & Co. (NYSE:JPM) Q1 2025 Earnings Call Transcript,https://www.msn.com/en-us/money/companies/jpmorgan-chase-co-nysejpm-q1-2025-earnings-call-transcript/ar-AA1CXpWa,2025-04-15 12:03:14,Insider Monkey,"Good morning, ladies and gentlemen. Welcome to JPMorgan Chase's First Quarter 2025 Earnings Call. This call is being recorded. Your line will be muted for the duration […]",https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA1s9mor.img?w=1456&h=816&m=4&q=91
J.P. Morgan Chase & Co.,JPMorgan Chase & Co. (JPM) Beats Q1 Earnings and Revenue Estimates,https://www.msn.com/en-us/money/taxes/jpmorgan-chase-co-jpm-beats-q1-earnings-and-revenue-estimates/ar-AA1CK0yQ,2025-04-11 11:55:04,Zacks.com,"JPMorgan Chase & Co. (JPM) delivered earnings and revenue surprises of 9.74% and 4.82%, respectively, for the quarter ended March 2025. Do the numbers hold clues to what lies ahead for the stock?",
J.P. Morgan Chase & Co.,Q1 EPS Estimate for JPMorgan Chase & Co. Raised by Analyst,https://www.etfdailynews.com/2025/04/06/q1-eps-estimate-for-jpmorgan-chase-co-raised-by-analyst/,2025-04-06 05:58:00,ETF Daily News,"Seaport Res Ptn analyst J. Mitchell now forecasts that the financial services provider will post earnings of $4.71 per share for the quarter, up from their previous forecast of $4.51. The consensus estimate for JPMorgan Chase & Co.",https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/jpmorgan-chase--co-logo-1200x675.png?v=20221020142040&w=240&h=240&zc=2
Nationwide Mutual Insurance Company,"Cherryville Resident Indicted on Insurance Fraud and Forgery Charges, NC Insurance Department Reports",https://hoodline.com/2025/04/cherryville-resident-indicted-on-insurance-fraud-and-forgery-charges-nc-insurance-department-reports/,2025-04-17 14:22:00,Hoodline,Cherryville man charged with insurance fraud and forgery after creating fake documents for an insurance claim.,
Nationwide Mutual Insurance Company,The Best Homeowners Insurance for Veterans,https://www.marketwatch.com/insurance-services/homeowners-insurance/homeowners-insurance-for-veterans/,2025-04-15 13:30:00,MarketWatch,"Learn about our top picks for the best homeowners insurance for veterans, along with average costs and requirements.",
Nationwide Mutual Insurance Company,Nationwide Auto Insurance Reviews,https://www.consumeraffairs.com/insurance/nationwide_auto.html,2025-04-14 00:00:00,ConsumerAffairs,"Nationwide provides auto insurance for drivers across the country. It's a mutual insurance company entirely owned by its policyholders, so it has the ability to focus on clients without having ...",
Nationwide Mutual Insurance Company,Nationwide posts fourth consecutive year of record sales,https://www.bizjournals.com/columbus/news/2025/04/03/nationwide-2024-annual-report.html,2025-04-03 14:23:00,The Business Journals,"Nationwide reported record sales for the fourth consecutive year: $68.5 million in 2024, a 13% increase from the prior year and up 60% over the decade.",
Nationwide Mutual Insurance Company,Best Life Insurance Companies for Cancer Patients,https://www.investopedia.com/the-best-life-insurance-for-cancer-patients-11705875,2025-03-31 17:10:00,Investopedia,"MassMutual is the best life insurance provider for cancer patients, according to Investopedia research. Getting life insurance with cancer can be difficult but not impossible. We reviewed companies based on their coverage,",https://www.investopedia.com/thmb/p2NEQben1p7b0p0TUzynu2zmZvo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/BestLifeInsuranceforCancerPatients-v1-9c8ecad237cf41c6a62a281a3c0b1252.png
"Prudential Financial, Inc.",Analysts Offer Insights on Financial Companies: Prudential Financial (PRU) and Nordea Bank Abp (OtherNBNKF),https://markets.businessinsider.com/news/stocks/analysts-offer-insights-on-financial-companies-prudential-financial-pru-and-nordea-bank-abp-othernbnkf-1034594310,2025-04-17 05:41:00,Markets Insider,Analysts have been eager to weigh in on the Financial sector with new ratings on Prudential Financial (PRU - Research Report) and Nordea Bank,
"Prudential Financial, Inc.",Prudential Financial Inc. stock underperforms Wednesday when compared to competitors,https://www.marketwatch.com/data-news/prudential-financial-inc-stock-underperforms-wednesday-when-compared-to-competitors-c6286fde-e8aaaa5e4610,2025-04-16 20:56:00,MarketWatch,This was the stock's second consecutive day of losses.,
"Prudential Financial, Inc.","Prudential Financial, Inc. to Redeem 5.375% Fixed-to-Floating Rate Junior Subordinated Notes due 2045",https://finance.yahoo.com/news/prudential-financial-inc-redeem-5-123500989.html,2025-04-15 12:35:00,Yahoo Finance,"Prudential Financial, Inc. (NYSE: PRU) announced today that it will redeem all of the $1,000,000,000 outstanding aggregate principal amount of its 5.375% Fixed-to-Floating Rate Junior Subordinated Notes due 2045 (CUSIP/ISIN No.",https://media.zenfs.com/en/business-wire.com/bcab1e6ddb3cd9b73b6c4b5ccaa132d4
"Prudential Financial, Inc.",Prudential Financial Inc. stock underperforms Thursday when compared to competitors,https://www.marketwatch.com/data-news/prudential-financial-inc-stock-underperforms-thursday-when-compared-to-competitors-2f4bcaeb-734c69004b8c,2025-04-10 20:54:00,MarketWatch,"Prudential Financial Inc. closed 24.57% short of its 52-week high of $130.55, which the company achieved on November 27th.",https://images.mktw.net/im-220105?width=700&height=466
"Prudential Financial, Inc.",Prudential Financial Inc. Decreases Stock Holdings in Booz Allen Hamilton Holding Co. (NYSE:BAH),https://www.etfdailynews.com/2025/04/08/prudential-financial-inc-decreases-stock-holdings-in-booz-allen-hamilton-holding-co-nysebah/,2025-04-08 08:14:00,ETF Daily News,"Prudential Financial Inc. lessened its holdings in Booz Allen Hamilton Holding Co. (NYSE:BAH - Free Report) by 55.7% during the 4th quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC).",https://www.marketbeat.com/scripts/SECFilingChart.ashx?Prefix=NYSE&Symbol=BAH
USAA,A tour of #historical USAA campus in #sanantonio,https://www.msn.com/en-us/society-culture-and-history/general/a-tour-of-historical-usaa-campus-in-sanantonio/vi-AA1DcbYm,2025-04-18 18:26:45,mySA,"USAA headquarters in San Antonio is undergoing a massive renovation, expanding communal spaces, modernizing dining halls and adding relaxation areas. 🔨The USAA headquarters on Fredericksburg Road has been gradually expanding into a sprawling campus of towering structures since the 1970s.",
USAA,2025 NFL Draft: Alabama's Jalen Milroe says he'll 'be ready to go' if Steelers draft him,https://www.msn.com/en-us/sports/nfl/2025-nfl-draft-alabamas-jalen-milroe-says-hell-be-ready-to-go-if-steelers-draft-him/ar-AA1D7qx0,2025-04-17 14:46:00,CBS Sports,"Milroe, the former Alabama standout and one of the top-ranked quarterbacks in the 2025 NFL Draft, was recently asked to name his favorite quarterback, either retired or still active. "" Aaron Rodgers and Michael Vick,"" Milroe, speaking on behalf of USAA, recently said during a one-on-one interview with CBS Sports.",https://sportshub.cbsistatic.com/i/r/2025/04/16/5f367681-6ca2-44e1-97c8-1b2c68edd0fd/thumbnail/1200x675/d28ba1ef8db29ce2c57d8c2f82359ecd/jalenmilroe.jpg
USAA,Best Car Insurance of 2025,https://www.marketwatch.com/insurance-services/auto-insurance/best-car-insurance/,2025-04-15 18:12:00,MarketWatch,"Travelers is the best auto insurance provider in the country, according to our 2025 review. However, a different provider could be best for your needs.",https://d2tez01fe91909.cloudfront.net/wp-content/uploads/2023/01/AdobeStock_560453554-e1744044432544-1024x575.jpeg
USAA,Progressive Car Insurance Review,https://www.marketwatch.com/insurance-services/auto-insurance/progressive-car-insurance-reviews/,2025-04-15 06:20:00,MarketWatch,"Progressive earns a 9.4 out of 10 and our Best for Tech-Savvy Drivers award due to its positive app reviews, usage-based insurance program and user-friendly website.",https://d2tez01fe91909.cloudfront.net/wp-content/uploads/2023/10/AdobeStock_574154259-scaled-e1697657962104-1024x544.jpeg
USAA,"PenFed CD Rates: Pros, Cons, and Current Rates",https://www.msn.com/en-us/money/personalfinance/penfed-cd-rates-pros-cons-and-current-rates/ar-BB1quRFG,2025-04-14 17:48:41,Insider,Explore PenFed CD rates. PenFed is a credit union that permits anyone in the United States to open CDs. Explore CD options and opening requirements.,https://i.insider.com/63a33c2eae4bde0019503728?width=1200&format=jpeg
